EPOCHS ,RGB    ,Gray   ,RGB-T0 ,Gray-T0,RGB-T1 ,Gray-T1,RGB-T2 ,Gray-T2,
    177,0.92018,0.93651,0.93651,0.94127,0.93243,0.94127,0.93175,0.94785,
    178,0.92358,0.94014,0.93447,0.94649,0.93560,0.94626,0.93741,0.95147,
    179,0.92562,0.93764,0.92993,0.93946,0.93923,0.94422,0.93288,0.94649,
    180,0.92993,0.93605,0.92993,0.94354,0.93583,0.94626,0.93469,0.94558,
    181,0.92857,0.94172,0.93152,0.93719,0.93946,0.94921,0.93741,0.94535,
    182,0.92018,0.94263,0.93469,0.93152,0.93401,0.94240,0.93764,0.95147,
    183,0.92676,0.94014,0.93243,0.93469,0.93129,0.94853,0.93605,0.95102,
    184,0.92925,0.93651,0.94218,0.94195,0.93923,0.95011,0.93560,0.94490,
    185,0.92880,0.93651,0.93696,0.93946,0.93628,0.94762,0.93900,0.94626,
    186,0.93129,0.93923,0.93810,0.94218,0.93696,0.94830,0.93560,0.95147,
    187,0.92834,0.93832,0.93469,0.94535,0.93855,0.94966,0.93696,0.95170,
    188,0.92971,0.94014,0.93447,0.94535,0.93469,0.94331,0.93583,0.95079,
    189,0.93583,0.93968,0.93537,0.94739,0.93832,0.94762,0.92971,0.95125,
    190,0.92812,0.94059,0.93741,0.94240,0.93673,0.94354,0.93991,0.94921,
    191,0.92857,0.93878,0.93333,0.94785,0.93991,0.94898,0.93946,0.94286,
    192,0.92313,0.93923,0.93061,0.94717,0.93401,0.94830,0.93628,0.94603,
    193,0.93265,0.93764,0.92857,0.93946,0.93605,0.94354,0.94240,0.94603,
    194,0.93333,0.94240,0.93220,0.94490,0.94240,0.94671,0.93447,0.94490,
    195,0.92721,0.93764,0.93220,0.94558,0.93333,0.94535,0.93946,0.94785,
    196,0.92608,0.94558,0.93560,0.93537,0.94354,0.94512,0.92744,0.94535,
    197,0.93084,0.94263,0.93605,0.94580,0.94331,0.94490,0.93878,0.94626,
    198,0.92449,0.94240,0.93379,0.95578,0.93878,0.95102,0.93673,0.94898,
    199,0.92766,0.93560,0.93605,0.94490,0.93061,0.95420,0.93515,0.95533,
    200,0.93379,0.93946,0.93605,0.94739,0.94422,0.95125,0.93447,0.95079,
